ts,phase,mode,cycle_time_ms,cycle_num,ch,packets,pps,avg_pps,dwell_ms,z_score
1776656263.1285052,P1_rr_10000ms,rr,10000,55,7,10,12.562813758850098,,769,
1776656263.1285052,P1_rr_10000ms,rr,10000,55,8,4,5.025125503540039,,769,
1776656263.1285052,P1_rr_10000ms,rr,10000,55,9,2,2.5125627517700195,,769,
1776656263.1285052,P1_rr_10000ms,rr,10000,55,10,2,2.5125627517700195,,769,
1776656263.1285052,P1_rr_10000ms,rr,10000,55,11,33,41.4572868347168,,769,
1776656263.1285052,P1_rr_10000ms,rr,10000,55,12,3,3.7688441276550293,,769,
1776656263.1285052,P1_rr_10000ms,rr,10000,55,13,0,0.0,,769,
1776656273.4712627,P1_rr_10000ms,rr,10000,56,1,45,56.53266143798828,,769,
1776656273.4712627,P1_rr_10000ms,rr,10000,56,2,1,1.2562813758850098,,769,
1776656273.4712627,P1_rr_10000ms,rr,10000,56,3,5,6.281406879425049,,769,
1776656273.4712627,P1_rr_10000ms,rr,10000,56,4,0,0.0,,769,
1776656273.4712627,P1_rr_10000ms,rr,10000,56,5,0,0.0,,769,
1776656273.4712627,P1_rr_10000ms,rr,10000,56,6,229,287.6884460449219,,769,
1776656273.4712627,P1_rr_10000ms,rr,10000,56,7,4,5.025125503540039,,769,
1776656273.4712627,P1_rr_10000ms,rr,10000,56,8,2,2.5125627517700195,,769,
1776656273.4712627,P1_rr_10000ms,rr,10000,56,9,9,11.306532859802246,,769,
1776656273.4712627,P1_rr_10000ms,rr,10000,56,10,9,11.306532859802246,,769,
1776656273.4712627,P1_rr_10000ms,rr,10000,56,11,56,70.35176086425781,,769,
1776656273.4712627,P1_rr_10000ms,rr,10000,56,12,1,1.2562813758850098,,769,
1776656273.4712627,P1_rr_10000ms,rr,10000,56,13,0,0.0,,769,
1776656283.8086827,P1_rr_10000ms,rr,10000,57,1,51,64.07035064697266,,769,
1776656283.8086827,P1_rr_10000ms,rr,10000,57,2,6,7.537688255310059,,769,
1776656283.8086827,P1_rr_10000ms,rr,10000,57,3,9,11.306532859802246,,769,
1776656283.8086827,P1_rr_10000ms,rr,10000,57,4,3,3.7688441276550293,,769,
1776656283.8086827,P1_rr_10000ms,rr,10000,57,5,6,7.537688255310059,,769,
1776656283.8086827,P1_rr_10000ms,rr,10000,57,6,232,291.457275390625,,769,
1776656283.8086827,P1_rr_10000ms,rr,10000,57,7,8,10.050251007080078,,769,
1776656283.8086827,P1_rr_10000ms,rr,10000,57,8,2,2.5125627517700195,,769,
1776656283.8086827,P1_rr_10000ms,rr,10000,57,9,7,8.793970108032227,,769,
1776656283.8086827,P1_rr_10000ms,rr,10000,57,10,7,8.793970108032227,,769,
1776656283.8086827,P1_rr_10000ms,rr,10000,57,11,34,42.713565826416016,,769,
1776656283.8086827,P1_rr_10000ms,rr,10000,57,12,3,3.7688441276550293,,769,
1776656283.8086827,P1_rr_10000ms,rr,10000,57,13,0,0.0,,769,
1776656294.1399612,P1_rr_10000ms,rr,10000,58,1,34,42.713565826416016,,769,
1776656294.1399612,P1_rr_10000ms,rr,10000,58,2,1,1.2562813758850098,,769,
1776656294.1399612,P1_rr_10000ms,rr,10000,58,3,0,0.0,,769,
1776656294.1399612,P1_rr_10000ms,rr,10000,58,4,6,7.537688255310059,,769,
1776656294.1399612,P1_rr_10000ms,rr,10000,58,5,9,11.306532859802246,,769,
1776656294.1399612,P1_rr_10000ms,rr,10000,58,6,274,344.2210998535156,,769,
1776656294.1399612,P1_rr_10000ms,rr,10000,58,7,9,11.306532859802246,,769,
1776656294.1399612,P1_rr_10000ms,rr,10000,58,8,0,0.0,,769,
1776656294.1399612,P1_rr_10000ms,rr,10000,58,9,6,7.537688255310059,,769,
1776656294.1399612,P1_rr_10000ms,rr,10000,58,10,10,12.562813758850098,,769,
1776656294.1399612,P1_rr_10000ms,rr,10000,58,11,31,38.944725036621094,,769,
1776656294.1399612,P1_rr_10000ms,rr,10000,58,12,1,1.2562813758850098,,769,
1776656294.1399612,P1_rr_10000ms,rr,10000,58,13,1,1.2562813758850098,,769,
1776656304.5235445,P1_rr_10000ms,rr,10000,59,1,24,30.150753021240234,,769,
1776656304.5235445,P1_rr_10000ms,rr,10000,59,2,8,10.050251007080078,,769,
1776656304.5235445,P1_rr_10000ms,rr,10000,59,3,2,2.5125627517700195,,769,
1776656304.5235445,P1_rr_10000ms,rr,10000,59,4,2,2.5125627517700195,,769,
1776656304.5235445,P1_rr_10000ms,rr,10000,59,5,3,3.7688441276550293,,769,
1776656304.5235445,P1_rr_10000ms,rr,10000,59,6,242,304.0201110839844,,769,
1776656304.5235445,P1_rr_10000ms,rr,10000,59,7,6,7.537688255310059,,769,
1776656304.5235445,P1_rr_10000ms,rr,10000,59,8,2,2.5125627517700195,,769,
1776656304.5235445,P1_rr_10000ms,rr,10000,59,9,25,31.40703582763672,,769,
1776656304.5235445,P1_rr_10000ms,rr,10000,59,10,12,15.075376510620117,,769,
1776656304.5235445,P1_rr_10000ms,rr,10000,59,11,48,60.30150604248047,,769,
1776656304.5235445,P1_rr_10000ms,rr,10000,59,12,1,1.2562813758850098,,769,
1776656304.5235445,P1_rr_10000ms,rr,10000,59,13,2,2.5125627517700195,,769,
1776656314.8906436,P1_rr_10000ms,rr,10000,60,1,27,33.91959762573242,,769,
1776656314.8906436,P1_rr_10000ms,rr,10000,60,2,13,16.33165740966797,,769,
1776656314.8906436,P1_rr_10000ms,rr,10000,60,3,3,3.7688441276550293,,769,
1776656314.8906436,P1_rr_10000ms,rr,10000,60,4,9,11.306532859802246,,769,
1776656314.8906436,P1_rr_10000ms,rr,10000,60,5,2,2.5125627517700195,,769,
1776656314.8906436,P1_rr_10000ms,rr,10000,60,6,258,324.12060546875,,769,
1776656314.8906436,P1_rr_10000ms,rr,10000,60,7,8,10.050251007080078,,769,
1776656314.8906436,P1_rr_10000ms,rr,10000,60,8,3,3.7688441276550293,,769,
1776656314.8906436,P1_rr_10000ms,rr,10000,60,9,2,2.5125627517700195,,769,
1776656314.8906436,P1_rr_10000ms,rr,10000,60,10,4,5.025125503540039,,769,
1776656314.8906436,P1_rr_10000ms,rr,10000,60,11,38,47.73869323730469,,769,
1776656314.8906436,P1_rr_10000ms,rr,10000,60,12,5,6.281406879425049,,769,
1776656314.8906436,P1_rr_10000ms,rr,10000,60,13,0,0.0,,769,
1776656325.2536883,P1_rr_10000ms,rr,10000,61,1,45,56.53266143798828,,769,
1776656325.2536883,P1_rr_10000ms,rr,10000,61,2,10,12.562813758850098,,769,
1776656325.2536883,P1_rr_10000ms,rr,10000,61,3,0,0.0,,769,
1776656325.2536883,P1_rr_10000ms,rr,10000,61,4,5,6.281406879425049,,769,
1776656325.2536883,P1_rr_10000ms,rr,10000,61,5,2,2.5125627517700195,,769,
1776656325.2536883,P1_rr_10000ms,rr,10000,61,6,217,272.6130676269531,,769,
1776656325.2536883,P1_rr_10000ms,rr,10000,61,7,4,5.025125503540039,,769,
1776656325.2536883,P1_rr_10000ms,rr,10000,61,8,6,7.537688255310059,,769,
1776656325.2536883,P1_rr_10000ms,rr,10000,61,9,6,7.537688255310059,,769,
1776656325.2536883,P1_rr_10000ms,rr,10000,61,10,8,10.050251007080078,,769,
1776656325.2536883,P1_rr_10000ms,rr,10000,61,11,26,32.66331481933594,,769,
1776656325.2536883,P1_rr_10000ms,rr,10000,61,12,0,0.0,,769,
1776656325.2536883,P1_rr_10000ms,rr,10000,61,13,0,0.0,,769,
1776656335.6207237,P1_rr_10000ms,rr,10000,62,1,27,33.91959762573242,,769,
1776656335.6207237,P1_rr_10000ms,rr,10000,62,2,1,1.2562813758850098,,769,
1776656335.6207237,P1_rr_10000ms,rr,10000,62,3,7,8.793970108032227,,769,
1776656335.6207237,P1_rr_10000ms,rr,10000,62,4,0,0.0,,769,
1776656335.6207237,P1_rr_10000ms,rr,10000,62,5,2,2.5125627517700195,,769,
1776656335.6207237,P1_rr_10000ms,rr,10000,62,6,247,310.301513671875,,769,
1776656335.6207237,P1_rr_10000ms,rr,10000,62,7,5,6.281406879425049,,769,
1776656335.6207237,P1_rr_10000ms,rr,10000,62,8,8,10.050251007080078,,769,
1776656335.6207237,P1_rr_10000ms,rr,10000,62,9,8,10.050251007080078,,769,
1776656335.6207237,P1_rr_10000ms,rr,10000,62,10,5,6.281406879425049,,769,
1776656335.6207237,P1_rr_10000ms,rr,10000,62,11,80,100.50251007080078,,769,
1776656335.6207237,P1_rr_10000ms,rr,10000,62,12,3,3.7688441276550293,,769,
1776656335.6207237,P1_rr_10000ms,rr,10000,62,13,0,0.0,,769,
1776656345.980329,P1_rr_10000ms,rr,10000,63,1,38,47.73869323730469,,769,
1776656345.980329,P1_rr_10000ms,rr,10000,63,2,3,3.7688441276550293,,769,
1776656345.980329,P1_rr_10000ms,rr,10000,63,3,6,7.537688255310059,,769,
1776656345.980329,P1_rr_10000ms,rr,10000,63,4,2,2.5125627517700195,,769,
1776656345.980329,P1_rr_10000ms,rr,10000,63,5,2,2.5125627517700195,,769,
1776656345.980329,P1_rr_10000ms,rr,10000,63,6,252,316.5829162597656,,769,
1776656345.980329,P1_rr_10000ms,rr,10000,63,7,9,11.306532859802246,,769,
1776656345.980329,P1_rr_10000ms,rr,10000,63,8,2,2.5125627517700195,,769,
1776656345.980329,P1_rr_10000ms,rr,10000,63,9,8,10.050251007080078,,769,
1776656345.980329,P1_rr_10000ms,rr,10000,63,10,1,1.2562813758850098,,769,
1776656345.980329,P1_rr_10000ms,rr,10000,63,11,38,47.73869323730469,,769,
1776656345.980329,P1_rr_10000ms,rr,10000,63,12,3,3.7688441276550293,,769,
1776656345.980329,P1_rr_10000ms,rr,10000,63,13,0,0.0,,769,
1776656356.3635876,P1_rr_10000ms,rr,10000,64,1,64,80.40200805664062,,769,
1776656356.3635876,P1_rr_10000ms,rr,10000,64,2,1,1.2562813758850098,,769,
1776656356.3635876,P1_rr_10000ms,rr,10000,64,3,1,1.2562813758850098,,769,
1776656356.3635876,P1_rr_10000ms,rr,10000,64,4,4,5.025125503540039,,769,
1776656356.3635876,P1_rr_10000ms,rr,10000,64,5,4,5.025125503540039,,769,
1776656356.3635876,P1_rr_10000ms,rr,10000,64,6,207,260.0502624511719,,769,
1776656356.3635876,P1_rr_10000ms,rr,10000,64,7,7,8.793970108032227,,769,
